Country			Year-Month	GSR	Prediction	Matched	Precision	Recall	Mean-Quality	Mean-Lead-Time	Mean-Probalility
Brazil			Jan 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Chile			Jan 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Mexico			Jan 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Panama			Jan 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Costa Rica		Jan 2012	6	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Jan 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Colombia		Jan 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Venezuela		Jan 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Argentina		Jan 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Brazil			Feb 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Chile			Feb 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Mexico			Feb 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Panama			Feb 2012	3	1	1	1.0	0.33	2.0	8.0	0.29
Costa Rica		Feb 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Feb 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Colombia		Feb 2012	0	6	0	0.0	0.0	0.0	0.0	0.93
Venezuela		Feb 2012	3	0	0	0.0	0.0	0.0	0.0	0.0
Argentina		Feb 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Brazil			Mar 2012	0	1	0	0.0	0.0	0.0	0.0	0.97
Chile			Mar 2012	0	1	0	0.0	0.0	0.0	0.0	0.95
Mexico			Mar 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Panama			Mar 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Costa Rica		Mar 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Mar 2012	0	1	0	0.0	0.0	0.0	0.0	0.97
Colombia		Mar 2012	0	3	0	0.0	0.0	0.0	0.0	0.92
Venezuela			Mar 2012	3	0	0	0.0	0.0	0.0	0.0	0.0
Argentina			Mar 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Brazil			Apr 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Chile			Apr 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Mexico			Apr 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Panama			Apr 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Costa Rica			Apr 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Apr 2012	2	1	1	1.0	0.5	1.9	4.0	0.45
Colombia			Apr 2012	0	2	0	0.0	0.0	0.0	0.0	0.93
Venezuela			Apr 2012	4	0	0	0.0	0.0	0.0	0.0	0.0
Argentina			Apr 2012	0	1	0	0.0	0.0	0.0	0.0	0.97
Brazil			May 2012	3	0	0	0.0	0.0	0.0	0.0	0.0
Chile			May 2012	1	2	0	0.0	0.0	0.0	0.0	0.94
Mexico			May 2012	1	1	0	0.0	0.0	0.0	0.0	0.93
Panama			May 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Costa Rica			May 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Peru			May 2012	3	0	0	0.0	0.0	0.0	0.0	0.0
Colombia			May 2012	1	1	0	0.0	0.0	0.0	0.0	0.93
Venezuela			May 2012	4	0	0	0.0	0.0	0.0	0.0	0.0
Argentina			May 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Brazil			Jun 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Chile			Jun 2012	3	3	1	0.33	0.33	2.43	5.0	0.77
Mexico			Jun 2012	0	1	0	0.0	0.0	0.0	0.0	0.94
Panama			Jun 2012	1	1	0	0.0	0.0	0.0	0.0	0.94
Costa Rica			Jun 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Jun 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Colombia			Jun 2012	3	1	0	0.0	0.0	0.0	0.0	0.96
