2012-01|7	22	2	3.39	0.75	2.50	0.09	0.29	0.14
2012-02|6	8	2	3.33	0.75	5.00	0.25	0.33	0.29
2012-03|5	11	0	0.00	0.75	0.00	0.00	0.00	0.00
2012-04|6	8	1	3.67	0.75	2.00	0.12	0.17	0.14
2012-05|16	9	1	3.11	0.75	3.00	0.11	0.06	0.08
2012-06|11	17	2	3.28	0.75	2.50	0.12	0.18	0.14
2012-07|3	21	1	2.11	0.75	6.00	0.05	0.33	0.08
2012-08|3	18	1	3.33	0.75	5.00	0.06	0.33	0.10
2012-09|1	22	1	2.11	0.75	6.00	0.05	1.00	0.09
2012-10|6	15	0	0.00	0.75	0.00	0.00	0.00	0.00
2012-11|7	7	3	2.11	0.75	5.33	0.43	0.43	0.43
2012-12|11	16	3	3.67	0.75	3.33	0.19	0.27	0.22
2013-01|5	15	0	0.00	0.75	0.00	0.00	0.00	0.00
2013-02|9	18	2	3.17	0.75	2.50	0.11	0.22	0.15
2013-03|5	18	2	2.67	0.75	5.00	0.11	0.40	0.17
2013-04|16	15	5	3.09	0.75	4.80	0.33	0.31	0.32
summary|117	240	26	3.03	0.75	4.12	0.11	0.22	0.15
