2012-12|23	76	15	3.03	0.68	5.53	0.20	0.65	0.30
2012-12|23	76	15	3.03	0.68	5.53	0.20	0.65	0.30
2012-12|23	43	9	3.28	0.68	4.67	0.21	0.39	0.27
2013-02|9	11	3	3.64	0.69	3.33	0.27	0.33	0.30
2013-01|5	17	3	2.88	0.68	6.00	0.18	0.60	0.27
2012-12|23	55	10	3.39	0.68	4.50	0.18	0.43	0.26
2012-12|23	55	10	3.39	0.68	4.50	0.18	0.43	0.26
2012-12|23	55	10	3.39	0.68	4.50	0.18	0.43	0.26
2013-02|9	21	4	3.68	0.68	3.50	0.19	0.44	0.27
2013-01|5	17	3	3.07	0.68	5.67	0.18	0.60	0.27
2012-12|9	17	2	2.98	0.66	5.00	0.12	0.22	0.15
2013-02|9	21	4	3.68	0.68	3.50	0.19	0.44	0.27
2013-12|0	0	0	0.00	0.00	0.00	0.00	0.00	0.00
2012-12|23	55	10	3.39	0.68	4.50	0.18	0.43	0.26
2012-12|23	30	7	3.13	0.69	5.29	0.23	0.30	0.26
2012-12|23	36	7	3.04	0.68	5.57	0.19	0.30	0.24
2012-12|23	21	5	3.19	0.69	5.40	0.24	0.22	0.23
2012-12|23	28	6	3.35	0.68	4.50	0.21	0.26	0.24
2012-12|23	50	9	3.34	0.68	4.56	0.18	0.39	0.25
