post_date	z30	z90
2011-01-03	2.20	1.58
2011-01-04	0.06	-0.04
2011-01-05	0.06	-0.04
2011-01-06	0.06	-0.04
2011-01-07	-0.24	-0.29
2011-01-11	0.07	-0.04
2011-01-12	0.34	0.20
2011-01-13	0.68	0.41
2011-01-14	0.09	0.01
2011-01-17	0.05	-0.03
2011-01-18	-0.88	-0.70
2011-01-19	-0.12	-0.02
2011-01-20	0.75	0.37
2011-01-21	0.52	0.27
2011-01-24	-0.11	-0.03
2011-01-25	1.04	0.54
2011-01-26	-0.31	-0.03
2011-01-27	-0.31	-0.03
2011-01-28	-0.35	-0.04
2011-01-31	-0.34	-0.04
2011-02-01	3.84	1.63
2011-02-02	0.39	0.30
2011-02-03	-0.36	-0.03
2011-02-04	-0.38	-0.02
2011-02-07	-1.55	-0.58
2011-02-08	-0.20	0.01
2011-02-09	-0.33	-0.05
2011-02-10	-2.21	-1.01
2011-02-11	-0.25	0.02
2011-02-14	-0.22	0.02
2011-02-15	2.02	1.43
2011-02-16	-0.62	-0.26
2011-02-17	-0.19	-0.01
2011-02-18	-0.19	-0.01
2011-02-21	-0.19	-0.01
2011-02-22	-1.38	-0.69
2011-02-23	9.99	6.06
2011-02-24	-0.49	-0.33
2011-02-25	-0.55	-0.40
2011-02-28	-0.19	-0.04
2011-03-01	-0.21	-0.05
2011-03-02	-0.22	-0.03
2011-03-03	0.04	0.25
2011-03-04	-0.49	-0.32
2011-03-09	-0.20	-0.01
2011-03-10	-0.20	-0.01
2011-03-11	0.75	1.00
2011-03-14	-0.21	-0.02
2011-03-15	-0.21	-0.01
2011-03-16	6.71	7.56
2011-03-17	-0.28	-0.08
2011-03-18	-0.24	-0.07
2011-03-21	-0.24	-0.07
2011-03-22	3.51	4.95
2011-03-23	-0.27	-0.06
2011-03-24	-0.32	-0.11
2011-03-25	-0.32	-0.17
2011-03-28	-0.32	-0.17
2011-03-29	-0.33	-0.17
2011-03-30	-0.33	-0.17
2011-03-31	-2.73	-3.81
2011-04-01	-0.21	-0.12
2011-04-04	-0.21	-0.12
2011-04-05	-0.08	0.09
2011-04-06	-0.28	-0.22
2011-04-07	-0.22	-0.12
2011-04-08	-0.23	-0.13
2011-04-11	-0.16	-0.11
2011-04-12	-0.16	-0.13
2011-04-13	-0.17	-0.12
2011-04-14	0.04	0.17
2011-04-15	0.56	0.94
2011-04-18	-0.20	-0.17
2011-04-20	-0.20	-0.17
2011-04-25	1.34	2.14
2011-04-26	-0.40	-0.42
2011-04-27	3.09	4.85
2011-04-28	-0.05	0.15
2011-04-29	-4.75	-7.13
2011-05-02	3.45	5.72
2011-05-03	-0.14	-0.17
2011-05-04	-0.14	-0.16
2011-05-05	1.97	3.13
2011-05-06	0.89	1.53
2011-05-09	-0.18	-0.20
2011-05-10	0.63	1.03
2011-05-11	-0.29	-0.34
2011-05-12	-0.30	-0.36
2011-05-13	-0.20	-0.21
2011-05-16	0.28	0.53
2011-05-17	-0.22	-0.22
2011-05-18	-0.02	0.16
2011-05-19	-0.28	-0.21
2011-05-20	0.73	1.26
2011-05-23	0.57	1.04
2011-05-24	-0.11	0.09
2011-05-25	-0.35	-0.25
2011-05-26	-0.39	-0.30
2011-05-27	-0.35	-0.24
2011-05-30	0.23	0.58
2011-05-31	-0.36	-0.25
2011-06-01	-0.36	-0.25
2011-06-02	-0.35	-0.25
2011-06-03	-0.47	-0.43
2011-06-07	-0.34	-0.25
2011-06-08	-0.31	-0.25
2011-06-09	-0.73	-0.85
2011-06-10	0.81	1.21
2011-06-13	-0.38	-0.40
2011-06-14	-0.48	-0.25
2011-06-15	-0.48	-0.25
2011-06-16	-0.66	-0.38
2011-06-17	-0.47	-0.24
2011-06-20	-0.45	-0.24
2011-06-21	-1.55	-0.84
2011-06-22	-2.05	-1.14
2011-06-23	0.59	0.20
2011-06-28	-0.25	-0.23
2011-06-29	0.42	0.13
2011-06-30	-0.28	-0.24
2011-07-01	0.02	-0.10
2011-07-06	-0.25	-0.23
2011-07-07	2.29	1.08
2011-07-08	-0.45	-0.34
2011-07-11	1.05	0.40
2011-07-12	0.11	-0.11
2011-07-13	-0.18	-0.26
2011-07-14	6.29	2.88
2011-07-15	4.26	2.91
2011-07-18	-0.35	-0.30
2011-07-19	1.45	1.19
2011-07-20	-0.31	-0.27
2011-07-21	-0.34	-0.29
2011-07-22	-0.18	-0.16
2011-07-25	-0.36	-0.30
2011-07-26	1.44	1.25
2011-07-27	0.54	0.52
2011-07-28	0.05	0.12
2011-07-29	0.06	0.10
2011-08-01	-0.47	-0.33
2011-08-02	3.31	3.00
2011-08-03	0.63	0.78
2011-08-04	-0.12	0.08
2011-08-05	-0.63	-0.41
2011-08-08	-0.58	-0.35
2011-08-09	-0.31	-0.05
2011-08-10	0.91	1.14
2011-08-11	2.54	2.69
2011-08-12	3.49	3.81
2011-08-16	-0.65	-0.31
2011-08-17	-2.35	-2.15
2011-08-18	-0.22	0.09
2011-08-19	-0.25	0.07
2011-08-22	-0.50	-0.25
2011-08-23	-1.09	-0.93
2011-08-24	0.50	0.90
2011-08-25	-0.73	-0.53
2011-08-26	-0.25	0.03
2011-08-29	-0.53	-0.35
2011-08-30	-0.62	-0.50
2011-08-31	-0.36	-0.22
2011-09-01	-0.50	-0.40
2011-09-02	-0.37	-0.27
2011-09-05	-1.01	-0.94
2011-09-06	-0.47	-0.39
2011-09-07	-0.34	-0.24
2011-09-08	-0.44	-0.38
2011-09-09	-0.51	-0.47
2011-09-12	-0.40	-0.36
2011-09-13	-0.34	-0.39
2011-09-14	0.81	1.13
2011-09-15	-0.43	-0.51
2011-09-16	-0.71	-0.88
2011-09-19	-0.30	-0.42
2011-09-20	-0.12	-0.17
2011-09-21	-0.18	-0.24
2011-09-22	-0.31	-0.39
2011-09-23	-0.36	-0.50
2011-09-26	-2.10	-2.46
2011-09-27	0.63	0.09
2011-09-28	0.00	-0.36
2011-09-29	-0.08	-0.34
2011-09-30	-0.08	-0.35
2011-10-03	-0.05	-0.35
2011-10-04	0.03	-0.30
2011-10-05	0.05	-0.25
2011-10-06	-0.00	-0.33
2011-10-07	0.81	0.10
2011-10-10	0.04	-0.31
2011-10-11	-0.00	-0.33
2011-10-13	-0.01	-0.32
2011-10-14	0.35	-0.14
2011-10-17	5.88	2.73
2011-10-18	0.59	0.19
2011-10-19	1.84	1.11
2011-10-20	0.61	0.28
2011-10-21	-1.39	-1.23
2011-10-24	-0.28	-0.42
2011-10-25	-2.31	-2.00
2011-10-26	7.19	5.80
2011-10-27	-0.23	-0.34
2011-10-28	-0.53	-0.72
2011-11-02	1.81	1.99
2011-11-03	-0.25	-0.36
2011-11-04	-0.10	-0.17
2011-11-07	-0.25	-0.37
2011-11-08	1.74	2.03
2011-11-09	0.16	0.19
2011-11-10	0.29	0.36
2011-11-11	0.70	0.90
2011-11-14	-0.97	-1.07
2011-11-15	0.18	0.29
2011-11-16	1.30	1.64
2011-11-17	-0.28	-0.20
2011-11-18	0.29	0.50
2011-11-21	-0.30	-0.19
2011-11-22	-0.67	-0.62
2011-11-23	-0.55	-0.49
2011-11-24	-0.52	-0.44
2011-11-25	-0.52	-0.43
2011-11-28	-2.66	-3.14
2011-11-29	-0.07	0.07
