post_date	IBVC_z30	IBVC_z90	MEXBOL_z30	MEXBOL_z90
2011-01-03	2.20	1.58	-0.04	-0.07
2011-01-04	0.06	-0.04	-0.55	-0.63
2011-01-05	0.06	-0.04	0.37	0.33
2011-01-06	0.06	-0.04	-1.00	-0.84
2011-01-07	-0.24	-0.29	-0.27	-0.29
2011-01-11	0.07	-0.04	-2.40	-1.94
2011-01-12	0.34	0.20	-0.59	-0.60
2011-01-13	0.68	0.41	0.52	0.21
2011-01-14	0.09	0.01	-0.60	-0.64
2011-01-17	0.05	-0.03	0.50	0.21
2011-01-18	-0.88	-0.70	0.28	-0.04
2011-01-19	-0.12	-0.02	-2.33	-1.93
2011-01-20	0.75	0.37	-1.49	-1.33
2011-01-21	0.52	0.27	-1.64	-1.47
2011-01-24	-0.11	-0.03	2.15	1.37
2011-01-25	1.04	0.54	-1.09	-1.13
2011-01-26	-0.31	-0.03	0.72	0.30
2011-01-27	-0.31	-0.03	-0.77	-0.84
2011-01-28	-0.35	-0.04	-3.42	-2.96
2011-01-31	-0.34	-0.04	0.90	0.44
2011-02-01	3.84	1.63	3.27	2.57
2011-02-02	0.39	0.30	1.51	1.18
2011-02-03	-0.36	-0.03	-0.84	-1.10
2011-02-04	-0.38	-0.02	-1.12	-1.40
2011-02-08	-0.20	0.01	0.54	0.27
2011-02-09	-0.33	-0.05	-2.24	-2.57
2011-02-10	-2.21	-1.01	-1.10	-1.49
2011-02-11	-0.25	0.02	1.50	1.32
2011-02-14	-0.22	0.02	0.10	-0.17
2011-02-15	2.02	1.43	0.01	-0.31
2011-02-16	-0.62	-0.26	0.65	0.37
2011-02-17	-0.19	-0.01	0.72	0.49
2011-02-18	-0.19	-0.01	1.24	1.06
2011-02-21	-0.19	-0.01	-0.86	-1.25
2011-02-22	-1.38	-0.69	-1.44	-1.94
2011-02-23	9.99	6.06	-0.89	-1.32
2011-02-24	-0.49	-0.33	0.12	-0.14
2011-02-25	-0.55	-0.40	1.64	1.61
2011-02-28	-0.19	-0.04	0.58	0.44
2011-03-01	-0.21	-0.05	-0.71	-1.08
2011-03-02	-0.22	-0.03	0.45	0.30
2011-03-03	0.04	0.25	1.01	0.98
2011-03-04	-0.49	-0.32	-0.68	-0.99
2011-03-09	-0.20	-0.01	-0.68	-0.97
2011-03-10	-0.20	-0.01	-1.72	-2.19
2011-03-11	0.75	1.00	0.81	0.74
2011-03-14	-0.21	-0.02	0.50	0.42
2011-03-15	-0.21	-0.01	-0.57	-0.73
2011-03-16	6.71	7.56	-1.07	-1.33
2011-03-17	-0.28	-0.08	0.11	-0.09
2011-03-18	-0.24	-0.07	-0.46	-0.75
2011-03-22	3.51	4.95	2.15	1.97
2011-03-23	-0.27	-0.06	2.33	2.33
2011-03-24	-0.32	-0.11	1.15	1.16
2011-03-25	-0.32	-0.17	-0.28	-0.37
2011-03-28	-0.32	-0.17	-0.07	-0.10
2011-03-29	-0.33	-0.17	0.13	0.09
2011-03-30	-0.33	-0.17	1.46	1.54
2011-03-31	-2.73	-3.81	0.74	0.83
2011-04-01	-0.21	-0.12	1.07	1.20
2011-04-04	-0.21	-0.12	0.36	0.47
2011-04-05	-0.08	0.09	-0.28	-0.32
2011-04-06	-0.28	-0.22	0.03	0.07
2011-04-07	-0.22	-0.12	-1.51	-1.57
2011-04-08	-0.23	-0.13	-0.12	-0.03
2011-04-11	-0.16	-0.11	0.30	0.46
2011-04-12	-0.16	-0.13	-1.06	-1.06
2011-04-13	-0.17	-0.12	0.06	0.10
2011-04-14	0.04	0.17	-1.08	-1.08
2011-04-15	0.56	0.94	-0.32	-0.28
2011-04-18	-0.20	-0.17	-2.36	-2.56
2011-04-20	-0.20	-0.17	1.29	1.48
2011-04-25	1.34	2.14	0.13	0.21
2011-04-26	-0.40	-0.42	0.06	0.16
2011-04-27	3.09	4.85	-0.35	-0.21
2011-04-28	-0.05	0.15	-0.46	-0.35
2011-04-29	-4.75	-7.13	0.80	0.97
2011-05-02	3.45	5.72	-1.45	-1.36
2011-05-03	-0.14	-0.17	-2.70	-2.64
2011-05-04	-0.14	-0.16	-1.13	-1.15
2011-05-05	1.97	3.13	-0.67	-0.64
2011-05-06	0.89	1.53	-0.31	-0.30
2011-05-09	-0.18	-0.20	1.08	1.03
2011-05-10	0.63	1.03	0.94	0.86
2011-05-11	-0.29	-0.34	-0.94	-0.96
2011-05-12	-0.30	-0.36	-0.61	-0.66
2011-05-13	-0.20	-0.21	-0.22	-0.28
2011-05-16	0.28	0.53	0.59	0.45
2011-05-17	-0.22	-0.22	-0.88	-0.97
2011-05-18	-0.02	0.16	2.51	2.09
2011-05-19	-0.28	-0.21	-0.01	-0.18
2011-05-20	0.73	1.26	0.38	0.21
2011-05-23	0.57	1.04	0.01	-0.17
2011-05-24	-0.11	0.09	0.89	0.70
2011-05-25	-0.35	-0.25	0.67	0.51
2011-05-26	-0.39	-0.30	1.13	0.95
2011-05-27	-0.35	-0.24	0.46	0.35
2011-05-30	0.23	0.58	-0.46	-0.54
2011-05-31	-0.36	-0.25	0.87	0.77
2011-06-01	-0.36	-0.25	-1.36	-1.40
2011-06-02	-0.35	-0.25	0.14	0.10
2011-06-03	-0.47	-0.43	-0.97	-0.94
2011-06-07	-0.34	-0.25	1.11	0.88
2011-06-08	-0.31	-0.25	0.18	0.05
2011-06-09	-0.73	-0.85	1.54	1.32
2011-06-10	0.81	1.21	-0.78	-0.88
2011-06-13	-0.38	-0.40	0.36	0.20
2011-06-14	-0.48	-0.25	1.83	1.71
2011-06-15	-0.48	-0.25	-0.44	-0.35
2011-06-16	-0.66	-0.38	-0.36	-0.25
2011-06-17	-0.47	-0.24	-0.77	-0.61
2011-06-20	-0.45	-0.24	0.36	0.40
2011-06-21	-1.55	-0.84	0.72	0.69
2011-06-22	-2.05	-1.14	0.55	0.51
2011-06-23	0.59	0.20	-0.30	-0.20
2011-06-28	-0.25	-0.23	2.38	2.24
2011-06-29	0.42	0.13	1.36	1.45
