post_date	z30	z90
2011-01-03	-0.04	-0.07
2011-01-04	-0.55	-0.63
2011-01-05	0.37	0.33
2011-01-06	-1.00	-0.84
2011-01-07	-0.27	-0.29
2011-01-10	-1.76	-1.40
2011-01-11	-2.40	-1.94
2011-01-12	-0.59	-0.60
2011-01-13	0.52	0.21
2011-01-14	-0.60	-0.64
2011-01-17	0.50	0.21
2011-01-18	0.28	-0.04
2011-01-19	-2.33	-1.93
2011-01-20	-1.49	-1.33
2011-01-21	-1.64	-1.47
2011-01-24	2.15	1.37
2011-01-25	-1.09	-1.13
2011-01-26	0.72	0.30
2011-01-27	-0.77	-0.84
2011-01-28	-3.42	-2.96
2011-01-31	0.90	0.44
2011-02-01	3.27	2.57
2011-02-02	1.51	1.18
2011-02-03	-0.84	-1.10
2011-02-04	-1.12	-1.40
2011-02-08	0.54	0.27
2011-02-09	-2.24	-2.57
2011-02-10	-1.10	-1.49
2011-02-11	1.50	1.32
2011-02-14	0.10	-0.17
2011-02-15	0.01	-0.31
2011-02-16	0.65	0.37
2011-02-17	0.72	0.49
2011-02-18	1.24	1.06
2011-02-21	-0.86	-1.25
2011-02-22	-1.44	-1.94
2011-02-23	-0.89	-1.32
2011-02-24	0.12	-0.14
2011-02-25	1.64	1.61
2011-02-28	0.58	0.44
2011-03-01	-0.71	-1.08
2011-03-02	0.45	0.30
2011-03-03	1.01	0.98
2011-03-04	-0.68	-0.99
2011-03-07	-0.89	-1.22
2011-03-08	0.35	0.27
2011-03-09	-0.68	-0.97
2011-03-10	-1.72	-2.19
2011-03-11	0.81	0.74
2011-03-14	0.50	0.42
2011-03-15	-0.57	-0.73
2011-03-16	-1.07	-1.33
2011-03-17	0.11	-0.09
2011-03-18	-0.46	-0.75
2011-03-22	2.15	1.97
2011-03-23	2.33	2.33
2011-03-24	1.15	1.16
2011-03-25	-0.28	-0.37
2011-03-28	-0.07	-0.10
2011-03-29	0.13	0.09
2011-03-30	1.46	1.54
2011-03-31	0.74	0.83
2011-04-01	1.07	1.20
2011-04-04	0.36	0.47
2011-04-05	-0.28	-0.32
2011-04-06	0.03	0.07
2011-04-07	-1.51	-1.57
2011-04-08	-0.12	-0.03
2011-04-11	0.30	0.46
2011-04-12	-1.06	-1.06
2011-04-13	0.06	0.10
2011-04-14	-1.08	-1.08
2011-04-15	-0.32	-0.28
2011-04-18	-2.36	-2.56
2011-04-19	0.43	0.46
2011-04-20	1.29	1.48
2011-04-25	0.13	0.21
2011-04-26	0.06	0.16
2011-04-27	-0.35	-0.21
2011-04-28	-0.46	-0.35
2011-04-29	0.80	0.97
2011-05-02	-1.45	-1.36
2011-05-03	-2.70	-2.64
2011-05-04	-1.13	-1.15
2011-05-05	-0.67	-0.64
2011-05-06	-0.31	-0.30
2011-05-09	1.08	1.03
