date|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99
2008-01-01|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0178|0.0546|0.0000|0.0000|0.0000|0.0396|0.0000|0.0000|0.0123|0.0000|0.0123|0.0000|0.0000|0.0150|0.0000|0.0123|0.0000|0.0000|0.0000|0.0150|0.0178|0.1352|0.0000|0.0000|0.0273|0.0000|0.0369|0.0000|0.0000|0.0000|0.0178|0.0000|0.0000|0.0000|0.0178|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1270|0.0246|0.1530|0.0587|0.0451|0.0000|0.0000|0.0178|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0178|0.0000|0.0191|0.0000|0.0000|0.0000|0.0000|0.0751|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0150|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0150|0.0000
2008-01-02|0.0013|0.0165|0.0178|0.0013|0.0071|0.0064|0.0055|0.0184|0.0280|0.0081|0.0038|0.0060|0.0037|0.0238|0.0092|0.0092|0.0072|0.0053|0.0088|0.0060|0.0044|0.0118|0.0038|0.0093|0.0075|0.0041|0.0168|0.0220|0.0026|0.0024|0.0313|0.0000|0.0072|0.0015|0.0098|0.0232|0.0042|0.0183|0.0128|0.0140|0.0025|0.0150|0.0067|0.0190|0.0055|0.0283|0.0026|0.0151|0.0087|0.0134|0.0040|0.0173|0.0080|0.0237|0.0026|0.0061|0.0084|0.0027|0.0161|0.0127|0.0047|0.0084|0.0152|0.0212|0.0154|0.0289|0.0145|0.0123|0.0048|0.0086|0.0094|0.0024|0.0029|0.0274|0.0257|0.0077|0.0015|0.0082|0.0099|0.0117|0.0188|0.0013|0.0052|0.0058|0.0024|0.0000|0.0035|0.0366|0.0033|0.0000|0.0158|0.0055|0.0031|0.0000|0.0015|0.0000|0.0051|0.0040|0.0203|0.0082
2008-01-03|0.0118|0.0054|0.0035|0.0053|0.0059|0.0082|0.0047|0.0054|0.0353|0.0038|0.0020|0.0047|0.0068|0.0371|0.0036|0.0121|0.0123|0.0077|0.0160|0.0068|0.0051|0.0074|0.0015|0.0027|0.0077|0.0061|0.0062|0.0000|0.0015|0.0054|0.0042|0.0068|0.0050|0.0068|0.0020|0.0280|0.0089|0.0015|0.0107|0.0222|0.0000|0.0204|0.0036|0.0212|0.0086|0.0095|0.0000|0.0315|0.0000|0.0437|0.0203|0.0219|0.0014|0.0139|0.0085|0.0177|0.0068|0.0036|0.0085|0.0083|0.0032|0.0017|0.0198|0.0262|0.0067|0.0115|0.0070|0.0038|0.0000|0.0150|0.0076|0.0041|0.0048|0.0033|0.0247|0.0112|0.0020|0.0050|0.0392|0.0114|0.0000|0.0014|0.0014|0.0033|0.0098|0.0216|0.0000|0.0424|0.0070|0.0000|0.0424|0.0000|0.0015|0.0061|0.0000|0.0070|0.0054|0.0068|0.0260|0.0219
2008-01-04|0.0078|0.0123|0.0037|0.0036|0.0061|0.0022|0.0017|0.0082|0.0429|0.0031|0.0078|0.0000|0.0061|0.0342|0.0099|0.0019|0.0015|0.0209|0.0240|0.0097|0.0000|0.0031|0.0054|0.0267|0.0046|0.0146|0.0179|0.0053|0.0146|0.0082|0.0209|0.0058|0.0053|0.0088|0.0094|0.0075|0.0017|0.0036|0.0068|0.0206|0.0014|0.0031|0.0131|0.0124|0.0014|0.0710|0.0036|0.0017|0.0051|0.0017|0.0000|0.0088|0.0080|0.0138|0.0085|0.0000|0.0114|0.0039|0.0015|0.0000|0.0056|0.0109|0.0272|0.0015|0.0049|0.0060|0.0000|0.0095|0.0000|0.0000|0.0053|0.0017|0.0088|0.0088|0.0335|0.0000|0.0000|0.0056|0.0104|0.0017|0.0235|0.0080|0.0099|0.0000|0.0032|0.0197|0.0000|0.1009|0.0061|0.0141|0.0082|0.0422|0.0056|0.0090|0.0068|0.0034|0.0000|0.0056|0.0085|0.0148
2008-01-05|0.0000|0.0000|0.0000|0.0000|0.0000|0.0123|0.0000|0.0000|0.0000|0.0000|0.0837|0.0000|0.0000|0.0368|0.0000|0.0000|0.0000|0.0123|0.0000|0.0112|0.0234|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0815|0.0123|0.0100|0.0000|0.0000|0.0212|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1205|0.0000|0.0100|0.0368|0.0000|0.0112|0.0156|0.0000|0.0000|0.0000|0.0100|0.0000|0.0123|0.0368|0.0000|0.0100|0.0000|0.0100|0.0100|0.0000|0.0748|0.0000|0.0145|0.0000|0.0000|0.0123|0.0000|0.1819|0.0000|0.0000|0.0000|0.0000|0.0246|0.0000|0.0000|0.0435|0.0100|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0123|0.0000|0.0000|0.0100|0.0123|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0156
2008-01-06|0.0124|0.0877|0.0247|0.0000|0.0000|0.0877|0.0000|0.0000|0.0000|0.0000|0.0630|0.0124|0.0000|0.0000|0.0000|0.0000|0.0124|0.0000|0.0000|0.0619|0.0394|0.0000|0.0124|0.0000|0.0000|0.0000|0.0247|0.0124|0.0124|0.0484|0.0000|0.0124|0.0866|0.0000|0.0000|0.0000|0.0000|0.0000|0.0281|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0225|0.0000|0.1834|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0124|0.0000|0.0000|0.0000|0.0000|0.0225|0.0000|0.0000|0.0124|0.0000|0.0000|0.0337|0.0247|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0124|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0247|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0124
2008-01-07|0.0055|0.0072|0.0043|0.0051|0.0066|0.0000|0.0281|0.0017|0.0000|0.0000|0.0056|0.0302|0.0058|0.0015|0.0184|0.0090|0.0046|0.0034|0.0019|0.0051|0.0073|0.0015|0.0017|0.0060|0.0087|0.0208|0.0101|0.0102|0.0056|0.0039|0.0193|0.0157|0.0019|0.0043|0.0034|0.0436|0.0019|0.0208|0.0036|0.0107|0.0014|0.0061|0.0029|0.0082|0.0046|0.0329|0.0102|0.0201|0.0095|0.0808|0.0293|0.0189|0.0056|0.0206|0.0073|0.0116|0.0196|0.0000|0.0066|0.0034|0.0017|0.0266|0.0378|0.0065|0.0087|0.0034|0.0000|0.0022|0.0017|0.0051|0.0022|0.0049|0.0017|0.0043|0.0303|0.0264|0.0043|0.0043|0.0029|0.0036|0.0037|0.0044|0.0029|0.0114|0.0162|0.0000|0.0124|0.0065|0.0019|0.0167|0.0000|0.0233|0.0000|0.0022|0.0031|0.0000|0.0273|0.0017|0.0177|0.0252
2008-01-08|0.0019|0.0078|0.0019|0.0069|0.0061|0.0071|0.0108|0.0051|0.0000|0.0035|0.0308|0.0074|0.0054|0.0015|0.0037|0.0032|0.0000|0.0101|0.0098|0.0019|0.0071|0.0037|0.0024|0.0180|0.0071|0.0172|0.0244|0.0042|0.0052|0.0056|0.0221|0.0019|0.0047|0.0106|0.0098|0.0565|0.0049|0.0064|0.0076|0.0034|0.0064|0.0194|0.0059|0.0293|0.0044|0.0524|0.0000|0.0019|0.0116|0.0015|0.0096|0.0182|0.0035|0.0216|0.0052|0.0153|0.0131|0.0071|0.0024|0.0155|0.0096|0.0037|0.0372|0.0465|0.0000|0.0024|0.0142|0.0066|0.0108|0.0019|0.0013|0.0079|0.0221|0.0000|0.0344|0.0145|0.0022|0.0078|0.0320|0.0084|0.0160|0.0037|0.0064|0.0000|0.0019|0.0138|0.0064|0.0221|0.0000|0.0170|0.0044|0.0042|0.0017|0.0096|0.0000|0.0019|0.0015|0.0130|0.0192|0.0022
2008-01-09|0.0070|0.0080|0.0229|0.0018|0.0071|0.0044|0.0081|0.0083|0.0083|0.0236|0.0114|0.0101|0.0034|0.0486|0.0021|0.0219|0.0058|0.0000|0.0104|0.0034|0.0049|0.0021|0.0000|0.0099|0.0015|0.0086|0.0236|0.0062|0.0063|0.0109|0.0253|0.0000|0.0034|0.0034|0.0021|0.0265|0.0062|0.0057|0.0057|0.0060|0.0021|0.0065|0.0037|0.0000|0.0075|0.0442|0.0041|0.0239|0.0078|0.0362|0.0000|0.0093|0.0054|0.0427|0.0037|0.0097|0.0088|0.0045|0.0058|0.0084|0.0063|0.0057|0.0257|0.0255|0.0185|0.0106|0.0041|0.0065|0.0034|0.0239|0.0023|0.0171|0.0018|0.0016|0.0331|0.0063|0.0036|0.0182|0.0219|0.0000|0.0032|0.0054|0.0016|0.0258|0.0102|0.0000|0.0000|0.0036|0.0000|0.0201|0.0057|0.0039|0.0112|0.0057|0.0021|0.0018|0.0036|0.0070|0.0307|0.0128
2008-01-10|0.0000|0.0066|0.0053|0.0120|0.0000|0.0120|0.0216|0.0018|0.0016|0.0078|0.0141|0.0136|0.0301|0.0021|0.0000|0.0014|0.0018|0.0050|0.0090|0.0027|0.0091|0.0046|0.0080|0.0014|0.0030|0.0018|0.0178|0.0117|0.0099|0.0000|0.0053|0.0016|0.0038|0.0114|0.0119|0.0218|0.0053|0.0429|0.0056|0.0030|0.0000|0.0229|0.0000|0.0114|0.0096|0.0227|0.0018|0.0352|0.0050|0.0215|0.0250|0.0291|0.0037|0.0165|0.0077|0.0102|0.0000|0.0018|0.0059|0.0077|0.0000|0.0035|0.0320|0.0453|0.0053|0.0062|0.0000|0.0000|0.0059|0.0488|0.0086|0.0016|0.0032|0.0094|0.0258|0.0053|0.0208|0.0050|0.0299|0.0037|0.0018|0.0219|0.0075|0.0099|0.0162|0.0059|0.0048|0.0147|0.0066|0.0029|0.0042|0.0058|0.0231|0.0115|0.0000|0.0032|0.0038|0.0018|0.0248|0.0029
